codigo,nombre,stock_disponible,stock,tipo,nivel_uso,categoria
10948,"Termometros digitales , N1",1,1,Fijos,1,Otros / específico
10949,"Termometros digitales , N2",1,1,Fijos,1,Otros / específico
10950,"Termometros digitales , N3",1,1,Fijos,1,Otros / específico
10951,"Termometros digitales , N4",1,1,Fijos,1,Otros / específico
11583,"VALVULA DE CONTROL MOTORIZADO ,N°1",2,2,Consumibles,1,Equipos didácticos (bombas/motores)
11657,VARIAC N°1,1,1,Fijos,1,Otros / específico
11658,VARIAC N°2,1,1,Fijos,1,Otros / específico
11865,VARIAC N°3,1,1,Fijos,1,Otros / específico
11866,VARIAC N°4,1,1,Fijos,1,Otros / específico
11867,VARIAC N°5,1,1,Fijos,1,Otros / específico
11990,VERIFICADOR DE SEGURIDAD ELEC N°1,1,1,Fijos,1,Otros / específico
11991,VERIFICADOR DE SEGURIDAD ELEC N°2,1,1,Fijos,1,Otros / específico
11862,VOLTIMETRO ANALOGICO N°1,1,1,Fijos,1,Otros / específico
11863,VOLTIMETRO ANALOGICO N°2,1,1,Fijos,1,Otros / específico
11786,WATTMETRO TRIFASICO ANALOGICO,1,1,Fijos,1,Otros / específico
11822,WATTMETRO TRIFASICO ANALOGICO,1,1,Fijos,1,Otros / específico
11823,WATTMETRO TRIFASICO ANALOGICO,1,1,Fijos,1,Otros / específico
12208,WD-40,9,9,Fijos,1,Otros / específico
12242,abrazadera autolock ppr 20 mm,19,19,Fijos,1,Otros / específico
12243,abrazadera autolock ppr 25 mm,3,3,Fijos,1,Otros / específico
12198,acople diferencial,1,1,Fijos,1,Otros / específico
12267,acople ppr 20x1/2,15,15,Fijos,1,Otros / específico
12230,acoples o uniones,115,115,Fijos,1,Otros / específico
12296,adaptador anillo 1/2,15,15,Fijos,1,Otros / específico
12391,adhesivo flux,21,21,consumible,1,Otros / específico
12220,ampolletas,35,35,Fijos,1,Otros / específico
12310,arnes de seguridad dielectrico,2,2,Fijos,1,Otros / específico
12309,arnes de vida,20,20,Fijos,1,Otros / específico
12211,base magentica,15,15,Fijos,1,Otros / específico
12218,baterias 12v,4,4,Fijos,1,Otros / específico
12217,bobina 3A 22V con nucleo,3,3,Fijos,1,Otros / específico
12191,bocinas,23,23,Fijos,1,Otros / específico
12202,bolsas de paños americano,18,18,Fijos,1,Otros / específico
12203,bolsas huaipe,43,43,Fijos,1,Otros / específico
